Open,High,Low,Close,Adj_close,Volume,Date,Stock_name
10.23,10.5,10.18,10.41,10.41,27400.0,2017-07-10T00:00:00,AGYS
10.46,10.57,10.22,10.4,10.4,36200.0,2017-07-11T00:00:00,AGYS
10.57,10.71,10.48,10.58,10.58,38300.0,2017-07-12T00:00:00,AGYS
10.61,10.74,10.46,10.7,10.7,15600.0,2017-07-13T00:00:00,AGYS
10.62,10.78,10.48,10.73,10.73,28000.0,2017-07-14T00:00:00,AGYS
10.72,10.84,10.57,10.69,10.69,19300.0,2017-07-17T00:00:00,AGYS
10.66,10.67,10.57,10.66,10.66,13900.0,2017-07-18T00:00:00,AGYS
10.65,10.88,10.65,10.8,10.8,15600.0,2017-07-19T00:00:00,AGYS
10.8,10.8,10.41,10.49,10.49,27200.0,2017-07-20T00:00:00,AGYS
10.61,10.61,10.38,10.38,10.38,78200.0,2017-07-21T00:00:00,AGYS
10.37,10.37,10.26,10.31,10.31,19400.0,2017-07-24T00:00:00,AGYS
10.31,10.58,10.31,10.47,10.47,60900.0,2017-07-25T00:00:00,AGYS
10.46,10.52,10.4,10.42,10.42,28900.0,2017-07-26T00:00:00,AGYS
10.4,10.44,10.11,10.15,10.15,22600.0,2017-07-27T00:00:00,AGYS
10.05,10.12,10.0,10.05,10.05,21800.0,2017-07-28T00:00:00,AGYS
10.05,10.13,9.94,10.06,10.06,36900.0,2017-07-31T00:00:00,AGYS
10.09,10.3,10.07,10.27,10.27,58200.0,2017-08-01T00:00:00,AGYS
10.26,10.26,9.98,10.01,10.01,22800.0,2017-08-02T00:00:00,AGYS
10.0,10.23,9.8,10.23,10.23,43300.0,2017-08-03T00:00:00,AGYS
10.3,10.63,10.23,10.43,10.43,25100.0,2017-08-04T00:00:00,AGYS
10.42,10.42,10.1,10.25,10.25,36900.0,2017-08-07T00:00:00,AGYS
10.18,10.39,10.05,10.21,10.21,13700.0,2017-08-08T00:00:00,AGYS
10.09,10.2,9.98,10.03,10.03,31700.0,2017-08-09T00:00:00,AGYS
10.0,10.25,10.0,10.2,10.2,39700.0,2017-08-10T00:00:00,AGYS
10.17,10.31,10.08,10.26,10.26,38300.0,2017-08-11T00:00:00,AGYS
10.21,10.5,10.21,10.5,10.5,16700.0,2017-08-14T00:00:00,AGYS
10.5,10.5,10.43,10.48,10.48,28300.0,2017-08-15T00:00:00,AGYS
10.47,10.55,10.37,10.37,10.37,16000.0,2017-08-16T00:00:00,AGYS
10.33,10.34,10.23,10.26,10.26,27000.0,2017-08-17T00:00:00,AGYS
10.14,10.34,10.14,10.33,10.33,15800.0,2017-08-18T00:00:00,AGYS
10.19,10.33,10.09,10.11,10.11,15600.0,2017-08-21T00:00:00,AGYS
10.22,10.37,10.16,10.37,10.37,11600.0,2017-08-22T00:00:00,AGYS
10.24,10.37,10.0,10.05,10.05,29200.0,2017-08-23T00:00:00,AGYS
10.06,10.19,10.05,10.13,10.13,13400.0,2017-08-24T00:00:00,AGYS
10.03,10.27,10.03,10.26,10.26,10700.0,2017-08-25T00:00:00,AGYS
10.16,10.19,10.1,10.16,10.16,20400.0,2017-08-28T00:00:00,AGYS
10.1,10.37,10.1,10.29,10.29,36500.0,2017-08-29T00:00:00,AGYS
10.26,10.42,10.24,10.38,10.38,17900.0,2017-08-30T00:00:00,AGYS
10.4,10.42,10.22,10.29,10.29,38300.0,2017-08-31T00:00:00,AGYS
10.39,10.5,10.29,10.49,10.49,95400.0,2017-09-01T00:00:00,AGYS
10.49,10.67,10.45,10.5,10.5,51500.0,2017-09-05T00:00:00,AGYS
10.5,10.66,10.42,10.52,10.52,53500.0,2017-09-06T00:00:00,AGYS
10.6,10.68,10.49,10.54,10.54,26700.0,2017-09-07T00:00:00,AGYS
10.66,10.66,10.54,10.58,10.58,43600.0,2017-09-08T00:00:00,AGYS
10.69,10.69,10.59,10.65,10.65,23400.0,2017-09-11T00:00:00,AGYS
10.66,10.7,10.58,10.64,10.64,15600.0,2017-09-12T00:00:00,AGYS
10.66,10.66,10.56,10.6,10.6,26800.0,2017-09-13T00:00:00,AGYS
10.57,10.63,10.55,10.61,10.61,12600.0,2017-09-14T00:00:00,AGYS
10.55,10.68,10.54,10.6,10.6,180200.0,2017-09-15T00:00:00,AGYS
10.58,10.75,10.58,10.69,10.69,34500.0,2017-09-18T00:00:00,AGYS
10.67,10.7,10.64,10.65,10.65,37100.0,2017-09-19T00:00:00,AGYS
10.71,10.74,10.57,10.6,10.6,37800.0,2017-09-20T00:00:00,AGYS
10.57,10.65,10.49,10.5,10.5,112500.0,2017-09-21T00:00:00,AGYS
10.42,10.65,10.42,10.62,10.62,485900.0,2017-09-22T00:00:00,AGYS
10.63,11.15,10.6,11.14,11.14,135700.0,2017-09-25T00:00:00,AGYS
11.24,11.77,11.16,11.68,11.68,58100.0,2017-09-26T00:00:00,AGYS
11.68,11.99,11.6,11.88,11.88,64900.0,2017-09-27T00:00:00,AGYS
11.87,11.99,11.53,11.99,11.99,29500.0,2017-09-28T00:00:00,AGYS
12.0,12.14,11.85,11.95,11.95,77500.0,2017-09-29T00:00:00,AGYS
12.02,12.25,11.56,12.09,12.09,113500.0,2017-10-02T00:00:00,AGYS
12.17,12.2,12.04,12.09,12.09,79600.0,2017-10-03T00:00:00,AGYS
12.1,12.1,11.86,12.01,12.01,142600.0,2017-10-04T00:00:00,AGYS
12.09,12.6,12.01,12.46,12.46,1290700.0,2017-10-05T00:00:00,AGYS
12.42,12.75,12.4,12.68,12.68,60200.0,2017-10-06T00:00:00,AGYS
12.75,12.75,12.46,12.55,12.55,44900.0,2017-10-09T00:00:00,AGYS
12.54,12.75,12.42,12.68,12.68,58600.0,2017-10-10T00:00:00,AGYS
12.69,12.75,12.65,12.69,12.69,44100.0,2017-10-11T00:00:00,AGYS
12.75,12.94,12.31,12.8,12.8,142400.0,2017-10-12T00:00:00,AGYS
12.77,12.87,12.37,12.8,12.8,28500.0,2017-10-13T00:00:00,AGYS
12.77,12.91,12.57,12.75,12.75,48800.0,2017-10-16T00:00:00,AGYS
12.68,12.77,12.39,12.48,12.48,45400.0,2017-10-17T00:00:00,AGYS
12.5,12.73,12.4,12.45,12.45,44900.0,2017-10-18T00:00:00,AGYS
12.44,12.63,12.12,12.25,12.25,37300.0,2017-10-19T00:00:00,AGYS
12.39,12.39,11.9,12.22,12.22,174100.0,2017-10-20T00:00:00,AGYS
12.28,12.47,12.11,12.17,12.17,48500.0,2017-10-23T00:00:00,AGYS
12.25,12.25,12.13,12.19,12.19,221000.0,2017-10-24T00:00:00,AGYS
12.37,12.37,12.01,12.09,12.09,29900.0,2017-10-25T00:00:00,AGYS
12.07,12.12,11.82,11.94,11.94,59400.0,2017-10-26T00:00:00,AGYS
12.03,12.03,11.86,11.97,11.97,48100.0,2017-10-27T00:00:00,AGYS
12.01,12.01,11.78,11.9,11.9,45100.0,2017-10-30T00:00:00,AGYS
11.97,12.32,11.96,12.27,12.27,80400.0,2017-10-31T00:00:00,AGYS
12.5,12.5,11.93,12.42,12.42,68200.0,2017-11-01T00:00:00,AGYS
12.21,12.39,11.68,12.31,12.31,79900.0,2017-11-02T00:00:00,AGYS
12.3,12.33,11.82,11.96,11.96,44700.0,2017-11-03T00:00:00,AGYS
12.06,12.07,12.0,12.02,12.02,36700.0,2017-11-06T00:00:00,AGYS
12.01,12.01,11.66,11.74,11.74,36600.0,2017-11-07T00:00:00,AGYS
11.65,11.66,11.4,11.53,11.53,44300.0,2017-11-08T00:00:00,AGYS
11.45,11.84,11.31,11.75,11.75,81700.0,2017-11-09T00:00:00,AGYS
11.76,12.36,11.3,11.84,11.84,46900.0,2017-11-10T00:00:00,AGYS
11.84,12.26,11.64,12.24,12.24,81300.0,2017-11-13T00:00:00,AGYS
12.31,12.31,11.87,11.89,11.89,64100.0,2017-11-14T00:00:00,AGYS
11.85,11.9,11.71,11.85,11.85,34900.0,2017-11-15T00:00:00,AGYS
11.89,12.2,11.74,12.08,12.08,45700.0,2017-11-16T00:00:00,AGYS
12.04,12.04,11.81,11.86,11.86,93800.0,2017-11-17T00:00:00,AGYS
11.87,12.02,11.77,11.9,11.9,16300.0,2017-11-20T00:00:00,AGYS
11.94,12.24,11.94,12.09,12.09,41500.0,2017-11-21T00:00:00,AGYS
12.13,12.29,11.9,12.09,12.09,69700.0,2017-11-22T00:00:00,AGYS
12.08,12.16,12.0,12.12,12.12,15800.0,2017-11-24T00:00:00,AGYS
12.01,12.36,11.93,11.93,11.93,59000.0,2017-11-27T00:00:00,AGYS
11.95,12.24,11.95,12.21,12.21,39600.0,2017-11-28T00:00:00,AGYS
12.2,12.31,12.08,12.25,12.25,39100.0,2017-11-29T00:00:00,AGYS
12.26,12.35,12.21,12.24,12.24,55600.0,2017-11-30T00:00:00,AGYS
12.29,12.32,11.87,12.23,12.23,36600.0,2017-12-01T00:00:00,AGYS
12.23,12.28,11.95,12.03,12.03,28700.0,2017-12-04T00:00:00,AGYS
